num a b c d
411 -0.2651 0.0 0.0 0.2135
412 -0.562 0.0 2.86e-06 0.2135
413 0.542 0.0 8.17e-05 0.2135
414 -0.7344 0.0 0.0 0.2135
415 0.519 0.0 0.1436 0.2135
416 -0.7827 0.0 0.384 0.2135
417 -0.733 0.0 1.98e-05 0.2135
418 -0.4788 0.0 5.66e-06 0.2135
419 0.9927 0.0 0.02708 0.2135
420 0.9985 0.0 0.001506 0.2135
421 0.9946 0.0 9.5e-07 0.2135
422 0.999 0.0 1e-07 0.2135
423 0.9976 0.0 0.0 0.2135
424 0.996 0.0 0.000475 0.2135
425 0.9233 0.0 4.8e-06 0.2135
426 0.9883 0.0 0.000626 0.007965
427 0.9604 0.0 0.001002 6.104e-05
428 0.6055 -0.0475 8e-07 6.104e-05
429 -0.9556 -0.1897 4.065e-05 6.104e-05
430 0.9346 -0.253 0.000436 6.104e-05
431 -0.4016 -0.3242 0.0 6.104e-05
432 0.395 -0.332 5.7e-06 6.104e-05
433 0.9644 -0.348 2e-07 6.104e-05
434 0.9966 -0.3557 3.105e-05 6.104e-05
435 0.999 -0.3557 0.0005727 6.104e-05
436 0.9883 -0.3557 5.44e-05 6.104e-05
437 0.6177 -0.0633 0.03223 6.104e-05
438 -0.3674 0.0 2.6e-06 6.104e-05
439 -0.9985 0.0 0.989 6.104e-05
440 -0.997 0.0 1.425e-05 6.104e-05
441 -0.9995 0.0 1.115e-05 6.104e-05
442 -0.9976 -0.1265 0.0 6.104e-05
443 -0.992 -0.3875 8.43e-05 6.104e-05
444 -0.998 -0.6167 0.1014 6.104e-05
445 -0.9995 -0.759 0.06158 6.104e-05
446 -0.9897 -0.83 0.0001857 6.104e-05
447 -0.9263 -0.83 0.1301 6.104e-05
448 -0.0387 -0.83 0.0 6.104e-05
449 -0.79 -0.1028 4.554e-05 6.104e-05
450 0.9697 0.0 5e-06 6.104e-05
451 -0.8667 0.0 6e-08 6.104e-05
452 0.9897 0.0 0.001915 6.104e-05
453 0.3547 0.0 0.0568 6.104e-05
454 0.2917 0.0 1.9e-06 6.104e-05
455 0.1433 -0.1028 0.0002261 6.104e-05
456 -0.3872 -0.2925 1.84e-05 6.104e-05
457 -0.7456 -0.3557 6e-08 6.104e-05
458 -0.731 -0.3716 0.00836 6.104e-05
459 -0.5327 -0.1897 7.5e-06 6.104e-05
460 -0.008064 0.0 0.997 6.104e-05
461 0.9434 0.0 1.97e-06 6.104e-05
462 0.608 0.0 0.7993 6.104e-05
463 -0.1866 0.0 0.12164 6.104e-05
464 -0.8794 0.0 2.5e-06 6.104e-05
465 -0.1858 0.0 0.0003662 6.104e-05
466 0.1487 0.0 8.3e-07 6.104e-05
467 0.7446 0.0 0.9946 6.104e-05
468 -0.711 0.0 0.000433 6.104e-05
469 -0.1844 0.0 8.3e-07 6.104e-05
470 0.6206 0.0 0.002964 6.104e-05
471 0.557 0.0 7e-06 6.104e-05
472 0.49 0.0 0.001425 6.104e-05
473 -0.1266 0.0 0.517 6.104e-05
474 -0.831 0.0 9.423e-05 6.104e-05
475 0.0568 0.0 0.006832 6.104e-05
476 0.826 0.0 0.1254 6.104e-05
477 0.4817 0.0 0.9946 6.104e-05
478 -0.9375 0.0 0.6147 6.104e-05
479 0.2084 0.0 0.001535 6.104e-05
480 -0.1365 0.0 0.1852 6.104e-05
481 -0.941 0.0 2.74e-06 6.104e-05
482 -0.9487 0.0 0.000608 6.104e-05
483 -0.9805 0.0 2.205e-05 6.104e-05
484 -0.8433 0.0 0.0535 6.104e-05
485 -0.6846 0.0 0.001714 6.104e-05
486 -0.272 0.0 0.001173 6.104e-05
487 -0.832 0.0 3.946e-05 6.104e-05
488 -0.7427 0.02371 0.000194 6.104e-05
489 -0.2141 0.05533 3.76e-06 6.104e-05
490 0.2102 0.05533 0.00115 6.104e-05
491 0.751 0.05533 0.0003128 6.104e-05
492 0.6816 0.05533 0.007683 6.104e-05
493 -0.3394 0.05533 0.0 6.104e-05
494 0.2318 0.05533 1.65e-05 6.104e-05
495 0.1069 0.07117 0.857 6.104e-05
496 0.9087 0.1423 0.0 6.104e-05
497 -0.778 0.1818 1.4e-06 6.104e-05
498 0.1406 0.245 1.43e-06 6.104e-05
499 -0.987 0.3162 5.066e-05 6.104e-05
500 -0.2202 0.332 0.3708 6.104e-05
501 -0.609 0.3635 0.0 6.104e-05
502 0.927 0.3716 0.2003 6.104e-05
503 0.3215 0.3716 2e-05 6.104e-05
504 -0.86 0.3716 1.67e-06 6.104e-05
505 0.5527 0.3716 7.105e-05 6.104e-05
506 -0.5947 0.3716 1.76e-05 6.104e-05
507 0.405 0.245 0.0003576 6.104e-05
508 0.629 0.0 2.325e-05 6.104e-05
509 0.07526 0.0 0.927 6.104e-05
510 -0.3254 0.0 1.25e-06 6.104e-05
511 0.26 0.0 0.0 6.104e-05
512 -0.5747 0.0 9.24e-06 6.104e-05
