a b
2266 6.529209621994246
1029 573.9130434782514
1119 207.40740740741217
2152 433.80782918148213
1192 70.12448132780553
1548 114.54545454545939
898 -77.2727272727271
1819 54.09836065573995
1670 -10.394265232975064
1312 280.9523809523692
54 -72.97297297297315
2494 154.61254612546267
1985 667.8571428571272
803 304.5801526717412
698 214.54005934718361
359 403.3112582781372
1449 359.0747330960763
765 -79.93311036789265
857 194.11764705882834
2107 -51.92307692307772
602 223.33333333332953
2236 -25.531914893617408
1789 489.4039735099214
1356 -59.183673469388395
282 -38.181818181819004
244 528.6764705882266
423 136.36363636364118
479 69.23076923077392
1473 210.6060606060645
1656 126.3513513513563
1264 260.26936026934777
568 444.4015444015389
982 -52.20588235294197
2351 342.9065743944615
1958 23.839009287927695
191 -75.52447552447552
87 -84.32601880877688
2389 487.5370919881196
1893 -76.43097643097633
2262 21.093749999998842
1055 170.70063694268012
1092 458.4905660377193
2122 -50.75757575757657
1559 18.57707509881606
1177 377.2727272727202
1842 24.52830188679456
920 4.918032786886064
1711 26.279863481228276
673 491.0780669144869
817 423.46570397110656
2039 427.0270270270175
1791 -82.5783972125431
1330 253.80116959063935
2452 265.0306748466126
24 86.49517684887792
744 439.85507246375516
863 453.2646048109939
294 -26.910299003323058
2200 602.4221453287097
2078 340.7407407407387
1600 5.263157894737809
1428 459.4405594405483
235 67.2473867595827
380 271.42857142856394
604 -31.506849315069292
516 -38.405797101450084
1379 -81.07255520504694
1005 774.9999999999891
387 -64.91228070175495
1225 90.63545150501653
2426 571.096345514943
2304 -51.85185185185266
1503 -47.21407624633511
1940 311.5646258503428
1885 421.594684385374
462 -75.1381215469613
98 -72.04968944099402
144 -25.072046109510882
2294 556.2499999999895
1074 -77.44360902255623
1105 -72.7891156462587
2164 573.3870967741829
1537 482.2368421052553
925 399.9999999999911
1164 133.4494773519175
1668 281.4432989690678
1828 77.47440273038018
823 42.857142857142094
691 368.8524590163864
2006 143.5424354243586
2488 403.6231884057849
1342 565.5290102388938
722 70.7317073170734
1788 312.63940520444555
2224 583.1683168316719
2059 536.6666666666549
871 -75.52447552447552
618 201.07526881720582
196 -78.79858657243791
1607 490.16393442622297
1358 433.33333333332206
1419 100.00000000000459
575 -28.338762214984524
992 47.36842105263377
363 -79.1666666666664
389 429.61672473866065
19 -34.782608695652975
1525 -19.117647058823867
2393 -30.656934306570168
2341 234.55882352941128
259 38.70967741935586
1260 -67.74193548387152
1954 107.7464788732446
459 -36.70886075949447
176 265.591397849466
96 561.1842105263026
1871 -30.83573487031779
2299 829.9999999999895
1045 329.5532646047993
2295 -9.832653061223468] average steps taken 283.0
1150 -56.953642384106764
1595 403.7037037036886
2141 406.1349693251462
916 283.050847457615
1188 -44.61538461538537
1673 244.48160535116637
1797 218.79194630872306
2487 64.65863453815777
718 55.03875968992658
831 -71.53024911032055
655 72.53521126761058
1756 429.4117647058767
2036 -44.055944055944856
579 293.6170212765955
217 253.79061371840325
1311 444.615384615374
2083 15.64625850340277
881 416.5562913907161
1405 208.5501858736085
2185 477.5577557755673
1012 -61.80555555555626
538 227.70270270269904
398 174.07407407407848
1424 9.589041095891156
349 394.9152542372849
44 -1.0600706713782198
2377 43.81270903010079
1482 346.2540716612304
1637 100.00000000000466
314 -8.16326530612257
1274 -32.659932659933425
1978 393.10344827584754
2309 139.34426229508702
478 -16.967509025271074
1903 -52.531645569621055
109 7.744107744107064
165 33.561643835619144
1032 537.3239436619618
2271 282.0224719101121
1102 428.9575289575188
